bin,n,mean_risk,obs_event_rate,horizon
0,275,-1.0026388803503707,0.01818181818181818,60.0
1,274,-0.33081664339594324,0.025547445255474453,60.0
2,274,0.004616244560536949,0.021897810218978103,60.0
3,274,0.3554227260566956,0.025547445255474453,60.0
4,274,0.9488222371823861,0.08029197080291971,60.0
