bin,n,mean_risk,obs_event_rate,horizon
0,275,-1.1589699587852849,0.12727272727272726,60.0
1,274,-0.3689395311090593,0.20802919708029197,60.0
2,274,0.03486807916294757,0.2737226277372263,60.0
3,274,0.4437416934519838,0.4708029197080292,60.0
4,274,1.066334738789926,0.6204379562043796,60.0
